Soundex of abckvq : 3  : abusive : abusively : abusiveness
Soundex of ckmkg : 68  : camas : cameos : cams : camus : canes : cannes : cannock : canoes : cans : cawing : ceng : chains : chamois : chance : chancy : change : chanukah : chemise : chewing : chimes : chimneys : chinas : chinch : chines : chinese : chink : chinks : chinook : chinooks : chinos : chins : chomsky : chums : chunk : chunks : chunky : cinch : cinque : cmg : coinage : coins : comas : comes : comex : comic : comics : commas : commies : commix : conch : cones : conga : congo : conic : conies : conk : conks : cons : conusee : cooing : coons : cowing : coyness : cueing : cumnock : cyanic : cynic : cynics
Metaphone of ckmkg : 1  : gamecock
Soundex of ckyzm : 28  : caesium : caisson : cajun : casein : casino : cesium : cession : cessna : cezanne : chasm : checksum : chesham : chicane : chicano : chicken : chosen : cocaine : cockney : cocoon : cohesion : coquina : cosen : cosine : cousin : coxswain : cozen : cuisine : cushion
Metaphone of ckyzm : 1  : caesium
Soundex of clrb : 26  : calorific : chloroform : chloroformed : chloroforming : chloroforms : chlorophyl : chlorophyll : chlorpromazine : clairvoyance : clairvoyant : clairvoyants : clarification : clarifications : clarified : clarifies : clarify : clarifying : collarbone : colorable : colorfast : colorful : colorfully : colourable : colourfast : colourful : colourfully
Metaphone of clrb : 1  : kohlrabi
Soundex of cls : 77  : calais : calico : callous : calls : callus : calque : calyx : caulk : caulks : celiac : cellos : cells : chalice : chalk : chalks : chalky : challis : chelsea : chilies : chillies : chills : clack : clacks : claque : clash : class : classy : claus : clause : claws : clays : clews : clich : cliche : clichÉ : click : clicks : clique : cliquey : cloak : cloaks : cloche : clock : clocks : clog : cloggy : clogs : close : clough : cloys : cluck : clucks : clues : clus : coalesce : coals : coils : colas : coleus : colic : colicky : collage : colleague : college : collegia : collies : colloquia : colloquy : colossi : cols : coolies : cools : coulees : cowlick : cowlicks : cowls : culls
Metaphone of cls : 63  : calais : callous : calls : callus : class : classy : claus : clause : claws : clays : clews : close : cloys : clues : clus : coalesce : coals : coils : colas : coleus : collies : colossi : cols : coolies : cools : coulees : cowls : culls : gaels : galas : gales : galleys : gallows : galls : gals : gaols : glass : glassy : glaze : glees : gloss : glossa : glossae : glossy : glows : glues : goalies : goals : gullies : gulls : keels : kelsey : kelso : keyless : kills : kilos : klaus : koalas : kolas : qls : quails : quells : quills
Soundex of codgki : 41  : caddies : caddis : caddish : cadge : cadiz : cads : caduca : caducei : cahoots : catch : catchy : cats : cautious : cedes : chadic : chadwick : chaotic : chateaux : chats : cheats : cheetahs : chides : chits : chutes : cites : cities : coatis : coats : codas : codes : codex : cods : coitus : cooties : coots : cots : cottage : cowhides : coyotes : cutaways : cuts
Soundex of cpf : 49  : cab : cabbie : cabby : cafe : cap : cape : cave : cb : cbi : cep : chafe : chaff : chap : chapeau : cheap : cheep : chef : chief : chip : chive : chivvy : chivy : chop : choppy : chubb : chubby : chuff : civi : civvy : cob : coffee : coif : coop : cop : cope : coppa : copy : coup : coupe : cove : covey : cowboy : coypu : cub : cuba : cubby : cube : cuff : cup
Soundex of cpna : 14  : cabana : cabin : caffeine : capon : cavan : cheapen : chiffon : chopin : cobham : coffin : coupon : coven : covin : cuban
Metaphone of cpna : 2  : capon : coupon
Soundex of cpovrdy : 2  : capybara : capybaras
Soundex of cppwnn : 14  : cabana : cabin : caffeine : capon : cavan : cheapen : chiffon : chopin : cobham : coffin : coupon : coven : covin : cuban
Metaphone of cppwnn : 2  : capon : coupon
Soundex of cqiz : 85  : cacao : cache : cage : cagey : cagy : cake : cas : case : casey : cash : cashew : cask : casks : cass : cassia : causa : cause : causeway : caws : cease : chace : chaise : chaos : chas : chase : check : checks : cheek : cheeks : cheeky : cheese : cheesy : cheque : chess : chews : chic : chichi : chick : chicks : chihuahuas : chock : chocks : choice : choke : choko : choose : choosey : choosy : chose : choux : chows : chuck : chucks : chug : chugs : chukka : cies : coach : coax : coca : cock : cocks : cocky : cocoa : cog : cogs : coke : cook : cookie : cooks : coos : coq : cos : cosh : cosy : couch : cough : cowes : cows : cox : cuckoo : cues : cushy : cuss : czech
Metaphone of cqiz : 26  : cacaos : cakes : caucus : coax : cocas : cocks : cocoas : cogs : cokes : cookies : cooks : cox : cuckoos : gags : gawks : gcse : gooks : gucci : kakis : kegs : kicks : kooks : quacks : quakes : quickies : quokkas
Soundex of cqqciu : 19  : ca : caw : cc : ce : ch : chew : chewy : chi : chihuahua : chow : co : coi : coo : cow : coy : cs : cue : cui : cy
Metaphone of cqqciu : 26  : cacaos : cakes : caucus : coax : cocas : cocks : cocoas : cogs : cokes : cookies : cooks : cox : cuckoos : gags : gawks : gcse : gooks : gucci : kakis : kegs : kicks : kooks : quacks : quakes : quickies : quokkas
Soundex of cqtxx : 41  : caddies : caddis : caddish : cadge : cadiz : cads : caduca : caducei : cahoots : catch : catchy : cats : cautious : cedes : chadic : chadwick : chaotic : chateaux : chats : cheats : cheetahs : chides : chits : chutes : cites : cities : coatis : coats : codas : codes : codex : cods : coitus : cooties : coots : cots : cottage : cowhides : coyotes : cutaways : cuts
Soundex of cst : 43  : cad : caddie : caddy : cat : cathy : catty : cawed : cd : cede : chad : chat : chateau : chatty : cheat : cheetah : chewed : chid : chide : chit : choate : chute : cid : cite : city : coat : coati : cod : coda : code : cooed : coot : cootie : cot : cotta : cowed : cowhide : coyote : cud : cued : cut : cutaway : cute : cwt
Metaphone of cst : 28  : cased : cassette : cast : caste : caused : coast : cosset : cost : costa : cussed : gassed : gast : gazed : gazette : gooiest : goosed : guessed : guest : gusset : gust : gusto : gusty : kissed : kist : quayside : quest : questa : quizzed
Soundex of cuwlri : 19  : caller : calorie : celery : cellar : chillier : cholera : claire : clare : clear : clearway : cloere : collar : collier : colliery : color : colour : colourway : cooler : couleur
Metaphone of cuwlri : 21  : caller : calorie : claire : clare : clear : cloere : collar : collier : colliery : color : colour : cooler : couleur : gallery : galore : gaoler : glare : gloria : glory : keeler : killer
Soundex of cvccm : 12  : cabochon : cabochons : cappuccino : cappuccinos : capuchin : capuchins : coefficient : coefficients : copesmate : copesmates : copiousness : cubism
Soundex of cvj : 57  : cabbage : cabbies : caboose : cabs : cafes : capax : capes : capias : cappis : caps : caves : ceps : chafes : chaffs : chapbook : chapbooks : chapeaux : chaps : chauffeuse : cheeps : chefs : chiefs : chips : chives : chivies : chivvies : chops : chuffs : civic : civics : civvies : cobs : coffees : coifs : coops : copes : copies : copious : coppas : coppice : cops : copse : coupes : coups : coves : coveys : cowboys : cowpoke : cowpox : coypus : cubage : cubes : cubic : cubs : cuffs : cups : cvos
Soundex of cvsdswm : 25  : capacitance : capacities : capacitor : capacitors : capacity : capstan : capstans : capstone : capstones : cheapest : cheapskate : cheapskates : chepstow : choppiest : chopstick : chopsticks : chubbiest : cofactor : cofactors : copycat : copycats : copyist : copyists : cubist : cubists
Soundex of cws : 85  : cacao : cache : cage : cagey : cagy : cake : cas : case : casey : cash : cashew : cask : casks : cass : cassia : causa : cause : causeway : caws : cease : chace : chaise : chaos : chas : chase : check : checks : cheek : cheeks : cheeky : cheese : cheesy : cheque : chess : chews : chic : chichi : chick : chicks : chihuahuas : chock : chocks : choice : choke : choko : choose : choosey : choosy : chose : choux : chows : chuck : chucks : chug : chugs : chukka : cies : coach : coax : coca : cock : cocks : cocky : cocoa : cog : cogs : coke : cook : cookie : cooks : coos : coq : cos : cosh : cosy : couch : cough : cowes : cows : cox : cuckoo : cues : cushy : cuss : czech
Metaphone of cws : 39  : cas : case : casey : cass : cassia : causa : cause : caws : coos : cos : cosy : cows : cs : cues : cuss : gaius : gas : gassy : gauss : gauze : gauzy : gays : gaza : gaze : gce : goes : goose : guess : guise : gus : guys : kazoo : keys : kiss : quasi : quays : queasy : queues : quiz
Soundex of cwsrfh : 1  : checkerboard
Soundex of cwtmu : 9  : caution : chatham : chidden : chitin : chutney : codeine : coition : cotton : cottony
Soundex of cwuxgii : 85  : cacao : cache : cage : cagey : cagy : cake : cas : case : casey : cash : cashew : cask : casks : cass : cassia : causa : cause : causeway : caws : cease : chace : chaise : chaos : chas : chase : check : checks : cheek : cheeks : cheeky : cheese : cheesy : cheque : chess : chews : chic : chichi : chick : chicks : chihuahuas : chock : chocks : choice : choke : choko : choose : choosey : choosy : chose : choux : chows : chuck : chucks : chug : chugs : chukka : cies : coach : coax : coca : cock : cocks : cocky : cocoa : cog : cogs : coke : cook : cookie : cooks : coos : coq : cos : cosh : cosy : couch : cough : cowes : cows : cox : cuckoo : cues : cushy : cuss : czech
Soundex of cxqut : 43  : cad : caddie : caddy : cat : cathy : catty : cawed : cd : cede : chad : chat : chateau : chatty : cheat : cheetah : chewed : chid : chide : chit : choate : chute : cid : cite : city : coat : coati : cod : coda : code : cooed : coot : cootie : cot : cotta : cowed : cowhide : coyote : cud : cued : cut : cutaway : cute : cwt
Soundex of cxwjnt : 27  : cassandra : checkmate : checkmated : checkmates : checkmating : chickened : coconut : coconuts : cogent : cogently : cognate : cognates : cognition : cognitional : cognitiones : cognitive : cognitively : cosmetic : cosmetically : cosmetics : cosmetologist : cosmetologists : cosmetology : cozened : cushioned : cygnet : cygnets
Soundex of cxxhtmk : 31  : caddying : cadence : cadenced : cadences : cadenza : cadenzas : cadmic : caithness : cationic : cautions : ceding : chattanooga : chattiness : chatting : cheating : chiding : chthonic : chutneys : citing : coating : coatings : coding : cotangent : cotangents : cottons : cottonseed : cottonseeds : cutaneous : cutting : cuttingly : cuttings
Soundex of cylpme : 17  : calvin : calving : calvinism : calvinist : calvinistic : calvinists : cellophane : clapham : clapping : cleaving : clipping : clippings : clopping : cloven : clubbing : colophon : colophons
Soundex of czbym : 14  : cabana : cabin : caffeine : capon : cavan : cheapen : chiffon : chopin : cobham : coffin : coupon : coven : covin : cuban
Soundex of czdh : 43  : cad : caddie : caddy : cat : cathy : catty : cawed : cd : cede : chad : chat : chateau : chatty : cheat : cheetah : chewed : chid : chide : chit : choate : chute : cid : cite : city : coat : coati : cod : coda : code : cooed : coot : cootie : cot : cotta : cowed : cowhide : coyote : cud : cued : cut : cutaway : cute : cwt
Metaphone of czdh : 28  : cased : cassette : cast : caste : caused : coast : cosset : cost : costa : cussed : gassed : gast : gazed : gazette : gooiest : goosed : guessed : guest : gusset : gust : gusto : gusty : kissed : kist : quayside : quest : questa : quizzed
Soundex of czvgjz : 57  : cabbage : cabbies : caboose : cabs : cafes : capax : capes : capias : cappis : caps : caves : ceps : chafes : chaffs : chapbook : chapbooks : chapeaux : chaps : chauffeuse : cheeps : chefs : chiefs : chips : chives : chivies : chivvies : chops : chuffs : civic : civics : civvies : cobs : coffees : coifs : coops : copes : copies : copious : coppas : coppice : cops : copse : coupes : coups : coves : coveys : cowboys : cowpoke : cowpox : coypus : cubage : cubes : cubic : cubs : cuffs : cups : cvos
Soundex of daepny : 13  : daphne : daphnia : dauphin : dauphine : deafen : deepen : defame : define : devon : dfm : divan : divine : dubbin
Metaphone of daepny : 1  : deepen
Soundex of dagcosx : 44  : daces : dachas : daises : daisies : dashes : dashiki : dazes : decays : decease : decoys : degas : degauss : dehisces : deuces : dices : dickeys : dikes : diocese : discos : discus : discuss : disease : disguise : dishes : disseise : disuse : dizzies : dockage : doggies : doghouse : dosage : doses : dosses : dosshouse : douches : douses : dowses : dozes : dsos : duces : duchess : duchies : dukes : dykes
Soundex of dawmcnd : 44  : damaging : damagingly : damascene : damascened : damascenes : damascening : damson : damsons : dancing : dankness : demagnetisation : demagnetise : demagnetised : demagnetises : demagnetising : demagnetization : demagnetize : demagnetized : demagnetizes : demagnetizing : demesne : demesnes : demijohn : demijohns : demising : demissione : denizen : denizens : denizing : dennison : diamagnetic : dinginess : dinging : domesman : domesmen : donjon : downswing : downswings : duncan : dungannon : dungeness : dungeon : dungeons : dunking
